Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2020-10-01,32.410,32.490,32.280,32.400,56889,,,,,,,
2020-10-02,32.010,32.460,32.010,32.440,122645,,,0.450,,,,
2020-10-05,32.590,32.890,32.550,32.870,42410,,,0.450,,,,
2020-10-06,32.890,32.960,32.470,32.550,154447,,,0.490,,,,
2020-10-07,32.770,32.950,32.740,32.910,31707,,,0.400,,,,
2020-10-08,33.060,33.170,33.060,33.160,43206,,,0.260,,,,
2020-10-09,33.250,33.280,33.120,33.200,58481,,,0.160,,,,
2020-10-13,33.200,33.220,32.980,33.110,44696,,,0.240,,,,
2020-10-14,33.180,33.220,32.960,32.980,79386,,,0.260,,,#DIV/0!,
2020-10-15,32.660,33.100,32.660,33.080,47756,,,0.440,,,#DIV/0!,
2020-10-16,33.130,33.170,32.940,32.940,54199,,,0.230,,,#DIV/0!,
2020-10-19,33.040,33.040,32.590,32.640,63829,,,0.450,,,#DIV/0!,
2020-10-20,32.770,32.790,32.550,32.620,59843,,,0.240,,,#DIV/0!,
2020-10-21,32.550,32.660,32.470,32.520,52799,,,0.190,0.328,0.010,#DIV/0!,
2020-10-22,32.520,32.640,32.360,32.610,53647,,,0.280,0.324,0.010,#DIV/0!,
2020-10-23,32.730,32.730,32.550,32.660,34247,,,0.180,0.305,0.009,#DIV/0!,
2020-10-26,32.490,32.500,32.070,32.240,98389,,,0.590,0.315,0.010,#DIV/0!,
2020-10-27,32.250,32.300,32.080,32.130,63154,,,0.220,0.296,0.009,#DIV/0!,
2020-10-28,31.730,31.730,31.240,31.250,117541,,,0.890,0.331,0.011,#DIV/0!,
2020-10-29,31.330,31.550,31.110,31.420,90376,32.587,,0.440,0.344,0.011,#DIV/0!,
2020-10-30,31.330,31.360,30.930,31.260,141027,32.530,,0.490,0.367,0.012,#DIV/0!,
2020-11-02,31.490,31.530,31.240,31.460,82645,32.481,,0.290,0.371,0.012,#DIV/0!,
2020-11-03,31.690,32.030,31.680,31.990,43346,32.437,,0.570,0.393,0.012,#DIV/0!,
2020-11-04,32.230,32.310,31.910,32.090,56438,32.414,,0.400,0.390,0.012,#DIV/0!,
2020-11-05,32.610,32.720,32.510,32.670,46261,32.402,,0.630,0.419,0.013,#DIV/0!,
2020-11-06,32.790,32.790,32.560,32.650,86649,32.376,,0.230,0.403,0.012,0.000,-0.420
2020-11-09,33.610,33.640,33.040,33.060,132848,32.369,,0.990,0.456,0.014,0.006,-0.408
2020-11-10,33.160,33.410,33.060,33.350,83470,32.381,,0.350,0.468,0.014,0.019,-0.385
2020-11-11,33.560,33.700,33.510,33.670,60964,32.416,,0.350,0.473,0.014,0.081,-0.297
2020-11-12,33.700,33.700,33.210,33.290,80580,32.426,,0.490,0.495,0.015,0.119,-0.229
2020-11-13,33.490,33.600,33.450,33.490,43884,32.454,,0.310,0.475,0.014,0.236,-0.064
2020-11-16,33.730,33.910,33.600,33.910,87850,32.517,,0.420,0.489,0.014,0.356,0.114
2020-11-17,33.780,34.050,33.690,34.040,125275,32.588,,0.360,0.451,0.013,0.486,0.314
2020-11-18,34.100,34.130,33.930,33.940,64993,32.659,,0.200,0.434,0.013,0.587,0.488
