Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2020-10-01,33.470,33.530,33.410,33.490,195200,,,,,,,
2020-10-02,33.590,33.590,33.490,33.510,145692,,,0.100,,,,
2020-10-05,33.480,33.480,33.380,33.400,122521,,,0.130,,,,
2020-10-06,33.430,33.540,33.400,33.500,137568,,,0.140,,,,
2020-10-07,33.450,33.450,33.410,33.420,77502,,,0.090,,,,
2020-10-08,33.410,33.460,33.410,33.420,177335,,,0.050,,,,
2020-10-09,33.420,33.450,33.390,33.420,80233,,,0.060,,,,
2020-10-13,33.450,33.500,33.450,33.470,82202,,,0.080,,,,
2020-10-14,33.500,33.520,33.490,33.490,54689,,,0.050,,,#DIV/0!,
2020-10-15,33.540,33.580,33.520,33.520,102322,,,0.090,,,#DIV/0!,
2020-10-16,33.540,33.540,33.460,33.540,142228,,,0.080,,,#DIV/0!,
2020-10-19,33.510,33.510,33.470,33.480,99842,,,0.070,,,#DIV/0!,
2020-10-20,33.450,33.450,33.400,33.400,77514,,,0.080,,,#DIV/0!,
2020-10-21,33.400,33.400,33.360,33.400,103318,,,0.040,0.082,0.002,#DIV/0!,
2020-10-22,33.390,33.400,33.310,33.310,95488,,,0.090,0.082,0.002,#DIV/0!,
2020-10-23,33.290,33.370,33.280,33.350,140967,,,0.090,0.081,0.002,#DIV/0!,
2020-10-26,33.290,33.320,33.250,33.260,280042,,,0.100,0.079,0.002,#DIV/0!,
2020-10-27,33.270,33.340,33.270,33.330,91682,,,0.080,0.075,0.002,#DIV/0!,
2020-10-28,33.330,33.410,33.310,33.310,141355,,,0.100,0.076,0.002,#DIV/0!,
2020-10-29,33.310,33.340,33.190,33.220,141080,33.412,,0.150,0.083,0.002,#DIV/0!,
2020-10-30,33.250,33.250,33.120,33.130,124201,33.394,,0.130,0.088,0.003,#DIV/0!,
2020-11-02,33.180,33.230,33.180,33.210,72397,33.379,,0.100,0.089,0.003,#DIV/0!,
2020-11-03,33.170,33.170,33.080,33.110,116762,33.365,,0.130,0.095,0.003,#DIV/0!,
2020-11-04,33.370,33.370,33.280,33.310,99240,33.355,,0.260,0.107,0.003,#DIV/0!,
2020-11-05,33.360,33.360,33.310,33.350,105906,33.352,,0.050,0.105,0.003,#DIV/0!,
2020-11-06,33.300,33.300,33.220,33.300,55260,33.346,,0.130,0.109,0.003,0.000,-0.105
2020-11-09,33.300,33.300,33.030,33.140,168532,33.332,,0.270,0.123,0.004,0.000,-0.106
2020-11-10,33.060,33.100,33.040,33.050,143606,33.311,,0.100,0.127,0.004,-0.005,-0.113
2020-11-11,33.020,33.140,33.020,33.100,106642,33.291,,0.120,0.129,0.004,-0.005,-0.115
2020-11-12,33.150,33.240,33.150,33.220,56533,33.276,,0.140,0.133,0.004,-0.003,-0.114
2020-11-13,33.240,33.240,33.190,33.210,279445,33.260,,0.050,0.129,0.004,-0.003,-0.114
2020-11-16,33.190,33.220,33.170,33.180,99759,33.245,,0.050,0.127,0.004,0.003,-0.108
2020-11-17,33.240,33.270,33.230,33.270,75866,33.238,,0.090,0.126,0.004,0.018,-0.090
2020-11-18,33.300,33.300,33.220,33.260,78712,33.231,,0.080,0.121,0.004,0.027,-0.078
2020-11-19,33.280,33.340,33.280,33.330,93542,33.232,,0.080,0.118,0.004,0.045,-0.054
2020-11-20,33.360,33.430,33.350,33.430,71023,33.236,,0.100,0.118,0.004,0.052,-0.040
2020-11-23,33.350,33.400,33.350,33.370,245374,33.242,,0.080,0.114,0.003,0.051,-0.032
2020-11-24,33.300,33.300,33.240,33.260,166962,33.238,,0.130,0.105,0.003,0.046,-0.027
2020-11-25,33.310,33.320,33.270,33.270,116992,33.236,,0.060,0.106,0.003,0.051,-0.011
2020-11-26,33.320,33.330,33.290,33.330,38900,33.242,,0.060,0.101,0.003,0.062,0.015
2020-11-27,33.370,33.410,33.340,33.380,177351,33.254,,0.080,0.087,0.003,0.067,0.036
2020-11-30,33.400,33.450,33.370,33.450,215960,33.266,,0.080,0.086,0.003,0.067,0.051
2020-12-01,33.340,33.390,33.300,33.340,132875,33.278,,0.150,0.088,0.003,0.059,0.059
2020-12-02,33.310,33.320,33.210,33.260,118102,33.275,,0.130,0.087,0.003,0.055,0.068
2020-12-03,33.230,33.290,33.230,33.290,89044,33.272,,0.060,0.088,0.003,0.045,0.070
2020-12-04,33.200,33.200,33.150,33.150,87026,33.265,,0.140,0.094,0.003,0.028,0.064
2020-12-07,33.190,33.250,33.180,33.230,89153,33.269,,0.100,0.095,0.003,0.007,0.052
2020-12-08,33.220,33.270,33.220,33.250,60710,33.279,,0.050,0.093,0.003,-0.015,0.035
2020-12-09,33.240,33.250,33.200,33.240,152483,33.286,,0.050,0.091,0.003,-0.031,0.019
2020-12-10,33.250,33.280,33.220,33.280,87536,33.289,33.319,0.060,0.088,0.003,-0.027,0.022
2020-12-11,33.310,33.390,33.310,33.330,293816,33.295,33.316,0.110,0.090,0.003,-0.018,0.028
2020-12-14,33.280,33.310,33.240,33.300,80669,33.301,33.311,0.090,0.087,0.003,-0.017,0.026
2020-12-15,33.310,33.320,33.290,33.310,86109,33.303,33.310,0.030,0.085,0.003,-0.024,0.013
2020-12-16,33.250,33.320,33.250,33.310,80917,33.306,33.306,0.070,0.086,0.003,-0.036,-0.009
2020-12-17,33.320,33.350,33.270,33.300,70428,33.304,33.303,0.080,0.086,0.003,-0.038,-0.020
2020-12-18,33.300,33.350,33.300,33.320,245045,33.299,33.301,0.050,0.084,0.003,-0.029,-0.018
