Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2020-10-01,23.400,23.470,23.400,23.470,5910,,,,,,,
2020-10-02,23.460,23.470,23.440,23.450,3773,,,0.030,,,,
2020-10-05,23.380,23.390,23.370,23.370,16728,,,0.080,,,,
2020-10-06,23.370,23.470,23.370,23.440,18588,,,0.100,,,,
2020-10-07,23.390,23.400,23.370,23.400,4943,,,0.070,,,,
2020-10-08,23.400,23.400,23.370,23.400,13827,,,0.030,,,,
2020-10-09,23.370,23.380,23.340,23.350,149020,,,0.060,,,,
2020-10-13,23.400,23.440,23.400,23.440,10439,,,0.090,,,,
2020-10-14,23.460,23.460,23.430,23.430,12499,,,0.030,,,#DIV/0!,
2020-10-15,23.480,23.490,23.430,23.450,5414,,,0.060,,,#DIV/0!,
2020-10-16,23.410,23.440,23.410,23.440,3095,,,0.040,,,#DIV/0!,
2020-10-19,23.420,23.420,23.400,23.400,8316,,,0.040,,,#DIV/0!,
2020-10-20,23.400,23.400,23.340,23.340,9449,,,0.060,,,#DIV/0!,
2020-10-21,23.340,23.340,23.320,23.320,1802,,,0.020,0.055,0.002,#DIV/0!,
2020-10-22,23.320,23.320,23.270,23.270,10329,,,0.050,0.054,0.002,#DIV/0!,
2020-10-23,23.310,23.310,23.310,23.310,2167,,,0.040,0.055,0.002,#DIV/0!,
2020-10-26,23.280,23.300,23.280,23.280,7025,,,0.030,0.051,0.002,#DIV/0!,
2020-10-27,23.280,23.330,23.280,23.320,23374,,,0.050,0.048,0.002,#DIV/0!,
2020-10-28,23.360,23.380,23.330,23.340,8527,,,0.060,0.047,0.002,#DIV/0!,
2020-10-29,23.350,23.350,23.250,23.250,2066,23.374,,0.100,0.052,0.002,#DIV/0!,
2020-10-30,23.260,23.260,23.210,23.210,69548,23.361,,0.050,0.051,0.002,#DIV/0!,
2020-11-02,23.240,23.260,23.230,23.250,6022,23.351,,0.050,0.049,0.002,#DIV/0!,
2020-11-03,23.170,23.180,23.140,23.180,23800,23.341,,0.110,0.054,0.002,#DIV/0!,
2020-11-04,23.320,23.330,23.310,23.320,6929,23.335,,0.150,0.061,0.003,#DIV/0!,
2020-11-05,23.320,23.330,23.300,23.310,40562,23.331,,0.030,0.060,0.003,#DIV/0!,
2020-11-06,23.240,23.270,23.220,23.260,1382,23.324,,0.090,0.064,0.003,0.000,-0.071
2020-11-09,23.060,23.120,23.060,23.110,40294,23.312,,0.200,0.074,0.003,0.000,-0.071
2020-11-10,23.060,23.100,23.030,23.100,23913,23.295,,0.080,0.078,0.003,-0.003,-0.075
2020-11-11,23.130,23.130,23.050,23.050,11832,23.276,,0.080,0.080,0.003,-0.007,-0.082
2020-11-12,23.140,23.190,23.140,23.180,31600,23.262,,0.140,0.087,0.004,-0.007,-0.083
2020-11-13,23.160,23.190,23.160,23.160,49921,23.248,,0.030,0.087,0.004,-0.011,-0.089
2020-11-16,23.150,23.170,23.140,23.140,35415,23.235,,0.030,0.086,0.004,-0.008,-0.088
2020-11-17,23.180,23.220,23.180,23.220,44150,23.229,,0.080,0.087,0.004,-0.002,-0.082
2020-11-18,23.230,23.230,23.180,23.210,22863,23.224,,0.050,0.084,0.004,0.003,-0.077
2020-11-19,23.230,23.270,23.230,23.270,17424,23.224,,0.060,0.084,0.004,0.016,-0.063
2020-11-20,23.300,23.330,23.290,23.330,40234,23.225,,0.060,0.085,0.004,0.020,-0.058
2020-11-23,23.310,23.320,23.280,23.290,44665,23.225,,0.050,0.081,0.003,0.021,-0.054
2020-11-24,23.240,23.240,23.210,23.210,11864,23.220,,0.080,0.076,0.003,0.021,-0.050
2020-11-25,23.220,23.250,23.210,23.210,27793,23.213,,0.040,0.076,0.003,0.029,-0.037
2020-11-26,23.250,23.260,23.230,23.250,5238,23.213,,0.050,0.074,0.003,0.037,-0.022
2020-11-27,23.260,23.320,23.260,23.320,28742,23.219,,0.070,0.064,0.003,0.048,-0.001
2020-11-30,23.290,23.330,23.280,23.330,64192,23.223,,0.050,0.062,0.003,0.049,0.010
2020-12-01,23.270,23.280,23.200,23.240,37880,23.226,,0.130,0.066,0.003,0.047,0.019
2020-12-02,23.200,23.200,23.140,23.150,32310,23.217,,0.100,0.063,0.003,0.045,0.026
2020-12-03,23.150,23.190,23.150,23.190,41979,23.211,,0.040,0.064,0.003,0.038,0.029
2020-12-04,23.150,23.150,23.070,23.080,20487,23.202,,0.120,0.070,0.003,0.025,0.025
2020-12-07,23.130,23.150,23.120,23.140,61849,23.204,,0.070,0.069,0.003,0.010,0.017
2020-12-08,23.130,23.180,23.130,23.160,18252,23.207,,0.050,0.069,0.003,-0.006,0.006
2020-12-09,23.120,23.150,23.120,23.140,35097,23.211,,0.040,0.068,0.003,-0.019,-0.005
2020-12-10,23.150,23.190,23.130,23.180,17721,23.211,23.273,0.060,0.068,0.003,-0.016,-0.002
2020-12-11,23.220,23.260,23.180,23.220,283805,23.214,23.268,0.080,0.070,0.003,-0.011,0.002
2020-12-14,23.150,23.210,23.140,23.200,32054,23.217,23.263,0.080,0.070,0.003,-0.011,0.000
2020-12-15,23.200,23.210,23.180,23.210,17121,23.217,23.260,0.030,0.069,0.003,-0.019,-0.013
2020-12-16,23.160,23.210,23.160,23.200,14105,23.216,23.255,0.050,0.069,0.003,-0.028,-0.027
2020-12-17,23.200,23.220,23.170,23.170,14592,23.211,23.251,0.050,0.068,0.003,-0.031,-0.038
2020-12-18,23.200,23.220,23.200,23.210,103824,23.205,23.247,0.050,0.068,0.003,-0.022,-0.034
2020-12-21,23.250,23.250,23.200,23.220,11316,23.202,23.244,0.050,0.062,0.003,-0.017,-0.034
2020-12-22,23.240,23.290,23.240,23.280,34008,23.205,23.241,0.070,0.060,0.003,-0.004,-0.022
2020-12-23,23.230,23.230,23.200,23.200,119404,23.205,23.236,0.080,0.063,0.003,0.004,-0.017
2020-12-24,23.220,23.270,23.220,23.270,4839,23.206,23.233,0.070,0.059,0.003,0.012,-0.010
2020-12-29,23.280,23.310,23.280,23.300,2350,23.205,23.230,0.040,0.057,0.002,0.024,0.002
2020-12-30,23.320,23.320,23.250,23.280,6918,23.202,23.228,0.070,0.059,0.003,0.031,0.013
2020-12-31,23.270,23.350,23.270,23.340,11890,23.207,23.228,0.080,0.061,0.003,0.034,0.021
2021-01-04,23.320,23.340,23.290,23.310,23905,23.215,23.227,0.050,0.061,0.003,0.032,0.026
2021-01-05,23.250,23.260,23.220,23.230,14877,23.217,23.227,0.090,0.061,0.003,0.026,0.027
2021-01-06,23.150,23.150,23.090,23.140,44608,23.220,23.223,0.140,0.066,0.003,0.019,0.026
2021-01-07,23.060,23.090,23.040,23.070,21562,23.217,23.219,0.100,0.071,0.003,0.015,0.028
2021-01-08,23.080,23.110,23.060,23.070,20219,23.212,23.214,0.050,0.071,0.003,0.008,0.026
2021-01-11,23.060,23.060,23.010,23.010,22611,23.206,23.207,0.060,0.071,0.003,-0.003,0.017
2021-01-12,23.000,23.020,22.950,23.020,30267,23.198,23.203,0.070,0.073,0.003,-0.020,0.001
2021-01-13,23.020,23.060,22.990,23.030,26519,23.188,23.199,0.070,0.074,0.003,-0.026,-0.007
2021-01-14,23.070,23.070,22.980,23.000,17617,23.178,23.194,0.090,0.076,0.003,-0.040,-0.027
2021-01-15,23.040,23.090,23.030,23.090,20523,23.172,23.192,0.090,0.076,0.003,-0.048,-0.043
2021-01-18,23.070,23.090,23.060,23.080,3670,23.166,23.188,0.030,0.074,0.003,-0.052,-0.056
2021-01-19,23.040,23.080,23.040,23.070,8028,23.161,23.183,0.040,0.074,0.003,-0.061,-0.076
2021-01-20,23.050,23.060,23.030,23.060,10843,23.154,23.179,0.040,0.071,0.003,-0.064,-0.092
2021-01-21,23.000,23.010,22.980,22.980,11392,23.142,23.176,0.080,0.071,0.003,-0.061,-0.104
