Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,16.390,16.440,16.250,16.380,13647,,,,,,,
2022-09-30,16.450,17.000,16.450,16.850,26216,,,0.620,,,,
2022-10-03,16.910,17.290,16.910,17.220,19140,,,0.440,,,,
2022-10-04,17.500,17.750,17.480,17.530,16707,,,0.530,,,,
2022-10-05,17.210,17.310,17.140,17.280,10212,,,0.390,,,,
2022-10-06,17.260,17.520,17.230,17.520,17381,,,0.290,,,,
2022-10-07,17.250,17.260,16.860,16.870,8700,,,0.660,,,,
2022-10-11,16.720,16.940,16.600,16.620,23779,,,0.340,,,,
2022-10-12,16.610,16.820,16.550,16.810,10266,,,0.270,,,#DIV/0!,
2022-10-13,16.370,16.910,16.160,16.910,40427,,,0.750,,,#DIV/0!,
2022-10-14,16.840,16.840,16.220,16.230,11817,,,0.690,,,#DIV/0!,
2022-10-17,16.510,16.670,16.390,16.390,16499,,,0.440,,,#DIV/0!,
2022-10-18,16.560,16.600,16.460,16.520,5182,,,0.210,,,#DIV/0!,
2022-10-19,16.320,16.410,16.260,16.290,3801,,,0.260,0.453,0.028,#DIV/0!,
2022-10-20,16.650,16.690,16.330,16.410,6390,,,0.400,0.449,0.027,#DIV/0!,
2022-10-21,16.300,16.930,16.300,16.930,38929,,,0.630,0.450,0.027,#DIV/0!,
2022-10-24,16.910,16.910,16.510,16.640,16465,,,0.420,0.449,0.027,#DIV/0!,
2022-10-25,16.650,16.870,16.650,16.850,110282,,,0.230,0.427,0.025,#DIV/0!,
2022-10-26,16.920,17.280,16.920,17.150,18390,,,0.430,0.430,0.025,#DIV/0!,
2022-10-27,17.030,17.180,17.020,17.030,34234,16.822,,0.160,0.421,0.025,#DIV/0!,
2022-10-28,16.950,16.950,16.690,16.900,21928,16.848,,0.340,0.398,0.024,#DIV/0!,
2022-10-31,16.740,16.970,16.740,16.750,13054,16.843,,0.230,0.390,0.023,#DIV/0!,
2022-11-01,17.050,17.250,17.050,17.130,28842,16.838,,0.500,0.406,0.024,#DIV/0!,
2022-11-02,17.190,17.190,16.430,16.430,64621,16.783,,0.760,0.407,0.025,#DIV/0!,
2022-11-03,15.970,15.970,15.710,15.750,12314,16.707,,0.720,0.409,0.026,#DIV/0!,
2022-11-04,16.290,16.690,16.290,16.690,9916,16.665,,0.940,0.445,0.027,0.000,-0.051
2022-11-07,16.750,16.750,16.500,16.710,7376,16.657,,0.250,0.448,0.027,0.006,-0.038
2022-11-08,16.760,17.600,16.760,17.470,38915,16.700,,0.890,0.493,0.028,0.018,-0.017
2022-11-09,17.320,17.470,17.040,17.040,34860,16.711,,0.430,0.495,0.029,0.044,0.023
2022-11-10,17.660,17.950,17.610,17.900,43829,16.761,,0.910,0.515,0.029,0.094,0.096
2022-11-11,18.000,18.140,17.930,17.970,22542,16.848,,0.240,0.502,0.028,0.113,0.138
2022-11-14,17.800,18.020,17.800,17.890,12060,16.923,,0.220,0.501,0.028,0.146,0.196
2022-11-15,17.990,17.990,17.770,17.870,14702,16.990,,0.220,0.486,0.027,0.165,0.238
2022-11-16,17.810,17.810,17.630,17.630,11162,17.057,,0.240,0.492,0.028,0.177,0.272
2022-11-17,17.340,17.430,17.250,17.400,6499,17.107,,0.380,0.495,0.028,0.141,0.272
2022-11-18,17.420,17.520,17.410,17.520,1781,17.136,,0.120,0.487,0.028,0.166,0.340
2022-11-21,17.530,17.530,17.300,17.520,3797,17.180,,0.230,0.468,0.027,0.214,0.438
2022-11-22,18.000,18.110,18.000,18.110,6545,17.243,,0.590,0.456,0.025,0.214,0.490
2022-11-23,18.010,18.240,18.010,18.240,17943,17.298,,0.230,0.421,0.023,0.225,0.551
2022-11-24,18.400,18.400,18.330,18.360,1522,17.364,,0.160,0.365,0.020,0.174,0.546
2022-11-25,18.250,18.310,18.210,18.240,14548,17.431,,0.150,0.358,0.020,0.162,0.575
2022-11-28,18.130,18.130,17.790,17.800,6850,17.484,,0.450,0.326,0.018,0.087,0.533
2022-11-29,18.270,18.420,18.250,18.360,3779,17.545,,0.620,0.340,0.019,0.028,0.500
2022-11-30,18.570,18.600,18.240,18.560,26248,17.652,,0.360,0.301,0.016,-0.006,0.490
2022-12-01,18.870,19.060,18.800,18.890,12634,17.809,,0.500,0.319,0.017,-0.007,0.508
2022-12-02,18.560,18.920,18.560,18.900,5591,17.919,,0.360,0.329,0.017,0.016,0.542
2022-12-05,18.780,18.810,18.580,18.610,12646,18.014,,0.320,0.336,0.018,0.041,0.577
2022-12-06,18.690,18.690,18.560,18.560,1259,18.069,,0.130,0.329,0.018,0.053,0.594
2022-12-07,18.750,18.760,18.600,18.720,8622,18.153,,0.200,0.316,0.017,0.083,0.633
2022-12-08,18.810,18.880,18.680,18.680,5097,18.192,17.381,0.200,0.321,0.017,0.042,0.594
2022-12-09,18.800,19.040,18.650,18.650,18836,18.226,17.426,0.390,0.333,0.018,-0.034,0.516
2022-12-12,18.500,18.630,18.420,18.630,5755,18.263,17.462,0.230,0.307,0.016,-0.082,0.464
2022-12-13,19.140,19.140,18.750,18.880,14373,18.313,17.495,0.510,0.327,0.017,-0.106,0.434
2022-12-14,18.950,18.950,18.710,18.810,49440,18.372,17.520,0.240,0.333,0.018,-0.069,0.467
2022-12-15,18.310,18.380,18.170,18.170,8581,18.411,17.538,0.640,0.368,0.020,-0.113,0.407
2022-12-16,17.940,18.290,17.850,18.230,33847,18.446,17.552,0.440,0.367,0.020,-0.130,0.367
2022-12-19,18.100,18.100,17.840,17.890,20323,18.465,17.573,0.390,0.351,0.020,-0.176,0.287
2022-12-20,18.110,18.290,18.080,18.220,9471,18.470,17.605,0.400,0.354,0.019,-0.200,0.218
2022-12-21,18.500,18.550,18.470,18.480,8971,18.482,17.638,0.330,0.341,0.018,-0.188,0.183
2022-12-22,18.310,18.310,18.090,18.270,16008,18.478,17.665,0.390,0.344,0.019,-0.195,0.135
2022-12-23,18.270,18.460,18.260,18.410,11101,18.486,17.709,0.200,0.335,0.018,-0.215,0.070
2022-12-28,18.430,18.490,18.320,18.320,7854,18.512,17.748,0.170,0.338,0.018,-0.229,0.009
2022-12-29,18.440,18.470,18.350,18.350,15352,18.512,17.784,0.150,0.334,0.018,-0.229,-0.048
2022-12-30,18.140,18.230,18.130,18.190,37334,18.493,17.822,0.220,0.336,0.018,-0.213,-0.088
