Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,13.580,13.620,13.510,13.550,279041,,,,,,,
2022-09-30,13.580,13.590,13.520,13.520,93406,,,0.070,,,,
2022-10-03,13.580,13.610,13.520,13.530,230751,,,0.090,,,,
2022-10-04,13.580,13.600,13.540,13.570,380792,,,0.070,,,,
2022-10-05,13.520,13.520,13.420,13.450,425840,,,0.150,,,,
2022-10-06,13.420,13.420,13.360,13.400,423662,,,0.090,,,,
2022-10-07,13.370,13.370,13.320,13.340,87450,,,0.080,,,,
2022-10-11,13.310,13.320,13.250,13.250,346685,,,0.090,,,,
2022-10-12,13.240,13.320,13.220,13.270,217449,,,0.100,,,#DIV/0!,
2022-10-13,13.190,13.320,13.190,13.260,111108,,,0.130,,,#DIV/0!,
2022-10-14,13.280,13.290,13.190,13.200,137400,,,0.100,,,#DIV/0!,
2022-10-17,13.270,13.290,13.230,13.230,174378,,,0.090,,,#DIV/0!,
2022-10-18,13.280,13.320,13.250,13.320,145033,,,0.090,,,#DIV/0!,
2022-10-19,13.220,13.230,13.110,13.110,159991,,,0.210,0.105,0.008,#DIV/0!,
2022-10-20,13.090,13.120,13.000,13.020,170339,,,0.120,0.106,0.008,#DIV/0!,
2022-10-21,12.960,13.050,12.950,13.050,116949,,,0.100,0.108,0.008,#DIV/0!,
2022-10-24,13.040,13.100,13.040,13.100,251629,,,0.060,0.106,0.008,#DIV/0!,
2022-10-25,13.120,13.160,13.120,13.160,281211,,,0.060,0.105,0.008,#DIV/0!,
2022-10-26,13.200,13.360,13.200,13.360,173356,,,0.200,0.109,0.008,#DIV/0!,
2022-10-27,13.350,13.410,13.330,13.390,304207,13.304,,0.080,0.108,0.008,#DIV/0!,
2022-10-28,13.360,13.410,13.360,13.400,301529,13.297,,0.050,0.106,0.008,#DIV/0!,
2022-10-31,13.410,13.410,13.350,13.380,178017,13.290,,0.060,0.104,0.008,#DIV/0!,
2022-11-01,13.450,13.460,13.390,13.420,115076,13.284,,0.080,0.102,0.008,#DIV/0!,
2022-11-02,13.400,13.430,13.330,13.350,252132,13.273,,0.100,0.100,0.007,#DIV/0!,
2022-11-03,13.290,13.310,13.250,13.260,386539,13.264,,0.100,0.100,0.008,#DIV/0!,
2022-11-04,13.180,13.230,13.160,13.180,280907,13.253,,0.100,0.101,0.008,0.000,-0.055
2022-11-07,13.160,13.190,13.060,13.070,246772,13.239,,0.130,0.104,0.008,0.011,-0.032
2022-11-08,13.080,13.190,13.080,13.180,205485,13.236,,0.120,0.097,0.007,0.023,-0.008
2022-11-09,13.170,13.220,13.160,13.220,232383,13.233,,0.060,0.093,0.007,0.034,0.014
2022-11-10,13.350,13.490,13.350,13.450,195427,13.243,,0.270,0.105,0.008,0.050,0.043
2022-11-11,13.460,13.490,13.460,13.490,135173,13.257,,0.040,0.104,0.008,0.050,0.052
2022-11-14,13.460,13.490,13.450,13.470,131521,13.269,,0.040,0.102,0.008,0.046,0.056
2022-11-15,13.490,13.530,13.460,13.510,393809,13.279,,0.070,0.093,0.007,0.043,0.059
2022-11-16,13.550,13.600,13.520,13.600,319359,13.303,,0.090,0.094,0.007,0.042,0.063
2022-11-17,13.530,13.540,13.500,13.540,265806,13.329,,0.100,0.097,0.007,0.029,0.063
2022-11-18,13.520,13.550,13.500,13.510,238000,13.352,,0.050,0.096,0.007,0.021,0.067
