Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2020-10-01,21.810,21.680,21.730,21.770,80548,,,,,,,
2020-10-02,21.780,21.500,21.770,21.530,32781,,,0.270,,,,
2020-10-05,22.070,21.860,22.060,21.870,61092,,,0.530,,,,
2020-10-06,22.120,21.840,21.850,22.090,111937,,,0.030,,,,
2020-10-07,22.100,21.990,22.100,21.990,12826,,,0.100,,,,
2020-10-08,22.250,22.180,22.250,22.180,30315,,,0.260,,,,
2020-10-09,22.340,22.250,22.280,22.310,50236,,,0.100,,,,
2020-10-13,22.280,22.140,22.230,22.280,45951,,,0.170,,,,
2020-10-14,22.300,22.130,22.140,22.270,49690,,,0.150,,,#DIV/0!,
2020-10-15,22.220,21.890,22.200,21.930,50366,,,0.380,,,#DIV/0!,
2020-10-16,22.260,22.130,22.130,22.250,34566,,,0.200,,,#DIV/0!,
2020-10-19,22.190,21.890,21.890,22.190,70542,,,0.360,,,#DIV/0!,
2020-10-20,22.010,21.870,21.900,21.990,56967,,,0.320,,,#DIV/0!,
2020-10-21,21.930,21.810,21.870,21.860,32310,,,0.180,0.235,0.011,#DIV/0!,
2020-10-22,21.930,21.740,21.910,21.850,16695,,,0.120,0.226,0.010,#DIV/0!,
2020-10-23,21.980,21.880,21.940,21.980,54539,,,0.090,0.214,0.010,#DIV/0!,
2020-10-26,21.850,21.550,21.660,21.850,42348,,,0.430,0.206,0.009,#DIV/0!,
2020-10-27,21.670,21.570,21.600,21.650,63593,,,0.280,0.224,0.010,#DIV/0!,
2020-10-28,21.300,20.990,21.000,21.300,72153,,,0.660,0.264,0.012,#DIV/0!,
2020-10-29,21.180,20.910,21.130,21.040,87425,21.909,,0.390,0.274,0.013,#DIV/0!,
2020-10-30,21.070,20.800,21.010,21.060,71490,21.874,,0.240,0.284,0.013,#DIV/0!,
2020-11-02,21.190,20.990,21.140,21.140,54270,21.854,,0.080,0.277,0.013,#DIV/0!,
2020-11-03,21.520,21.300,21.500,21.300,50286,21.826,,0.360,0.292,0.014,#DIV/0!,
2020-11-04,21.700,21.450,21.570,21.670,35251,21.805,,0.270,0.284,0.013,#DIV/0!,
2020-11-05,21.990,21.880,21.940,21.920,58866,21.801,,0.270,0.289,0.013,#DIV/0!,
2020-11-06,22.080,21.890,21.950,22.050,69969,21.795,,0.030,0.266,0.012,0.000,-0.252
2020-11-09,22.750,22.200,22.200,22.750,118340,21.817,,0.150,0.254,0.011,0.019,-0.215
2020-11-10,22.450,22.220,22.380,22.270,46503,21.816,,0.530,0.279,0.013,0.010,-0.219
2020-11-11,22.640,22.510,22.600,22.530,142511,21.829,,0.330,0.294,0.013,0.031,-0.188
2020-11-12,22.640,22.310,22.360,22.600,128089,21.863,,0.220,0.303,0.013,0.072,-0.129
2020-11-13,22.580,22.480,22.500,22.490,33410,21.875,,0.120,0.281,0.012,0.127,-0.049
2020-11-16,22.770,22.580,22.770,22.660,51623,21.898,,0.280,0.281,0.012,0.209,0.068
2020-11-17,22.870,22.620,22.850,22.650,178894,21.931,,0.190,0.247,0.011,0.287,0.187
2020-11-18,22.910,22.770,22.780,22.890,45398,21.983,,0.130,0.229,0.010,0.364,0.310
2020-11-19,22.810,22.710,22.800,22.730,37558,22.027,,0.180,0.224,0.010,0.392,0.411
2020-11-20,23.000,22.810,22.970,22.830,52933,22.069,,0.240,0.236,0.010,0.377,0.473
2020-11-23,23.120,23.000,23.070,23.020,52373,22.128,,0.240,0.227,0.010,0.355,0.535
2020-11-24,23.370,23.230,23.320,23.230,41224,22.207,,0.300,0.229,0.010,0.327,0.594
2020-11-25,23.380,23.240,23.370,23.330,227626,22.308,,0.140,0.220,0.009,0.244,0.590
2020-11-26,23.440,23.380,23.410,23.390,20420,22.426,,0.080,0.224,0.010,0.203,0.625
2020-11-27,23.510,23.390,23.480,23.400,31009,22.543,,0.090,0.219,0.009,0.153,0.638
2020-11-30,23.420,23.140,23.270,23.420,47163,22.657,,0.260,0.200,0.009,0.114,0.651
2020-12-01,23.560,23.350,23.350,23.560,48925,22.770,,0.070,0.181,0.008,0.097,0.674
2020-12-02,23.440,23.300,23.430,23.340,52373,22.853,,0.260,0.184,0.008,0.061,0.666
2020-12-03,23.570,23.480,23.500,23.480,33378,22.931,,0.160,0.187,0.008,0.026,0.651
2020-12-04,23.660,23.550,23.660,23.550,143123,23.006,,0.180,0.180,0.008,-0.024,0.609
2020-12-07,23.780,23.590,23.750,23.640,105771,23.051,,0.200,0.181,0.008,-0.046,0.586
2020-12-08,23.840,23.710,23.840,23.710,68536,23.123,,0.200,0.186,0.008,-0.068,0.561
2020-12-09,23.860,23.630,23.740,23.860,46928,23.189,,0.080,0.179,0.007,-0.086,0.532
2020-12-10,23.790,23.620,23.790,23.630,42114,23.241,22.446,0.240,0.179,0.008,-0.112,0.490
2020-12-11,23.730,23.620,23.720,23.720,48313,23.302,22.485,0.090,0.168,0.007,-0.127,0.453
2020-12-14,23.830,23.510,23.510,23.830,80652,23.361,22.531,0.210,0.161,0.007,-0.131,0.422
2020-12-15,23.700,23.610,23.660,23.640,37852,23.410,22.566,0.220,0.167,0.007,-0.116,0.407
2020-12-16,23.780,23.640,23.740,23.740,204177,23.453,22.599,0.100,0.169,0.007,-0.116,0.377
2020-12-17,23.900,23.810,23.870,23.870,169476,23.510,22.637,0.130,0.171,0.007,-0.113,0.352
2020-12-18,23.900,23.690,23.690,23.900,103841,23.563,22.671,0.180,0.166,0.007,-0.090,0.348
2020-12-21,23.670,23.410,23.670,23.460,181315,23.585,22.694,0.490,0.196,0.008,-0.101,0.309
2020-12-22,23.760,23.640,23.740,23.710,46880,23.609,22.723,0.280,0.197,0.008,-0.100,0.282
2020-12-23,23.870,23.780,23.790,23.780,48188,23.632,22.753,0.080,0.191,0.008,-0.105,0.251
2020-12-24,23.860,23.780,23.850,23.800,45492,23.652,22.790,0.070,0.184,0.008,-0.107,0.223
2020-12-29,23.730,23.520,23.560,23.700,97547,23.667,22.819,0.280,0.189,0.008,-0.130,0.172
2020-12-30,23.680,23.570,23.590,23.620,51745,23.677,22.848,0.130,0.184,0.008,-0.132,0.141
