Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,57.850,58.090,56.620,58.040,78755,,,,,,,
2022-09-30,57.870,58.590,57.090,57.650,71315,,,1.500,,,,
2022-10-03,59.440,60.650,59.440,60.290,109829,,,3.000,,,,
2022-10-04,61.580,62.160,61.310,62.090,82578,,,1.870,,,,
2022-10-05,62.360,63.210,61.050,62.560,81215,,,2.160,,,,
2022-10-06,62.410,63.100,62.270,62.670,54210,,,0.830,,,,
2022-10-07,62.840,63.500,62.370,62.660,51601,,,1.130,,,,
2022-10-11,60.840,61.330,60.400,60.580,83769,,,2.260,,,,
2022-10-12,60.040,60.660,59.250,60.510,32115,,,1.410,,,#DIV/0!,
2022-10-13,59.840,62.600,59.720,62.540,112862,,,2.880,,,#DIV/0!,
2022-10-14,62.210,62.650,60.740,60.740,55148,,,1.910,,,#DIV/0!,
2022-10-17,61.270,62.190,60.920,60.920,54867,,,1.450,,,#DIV/0!,
2022-10-18,61.340,61.720,60.240,60.930,64469,,,1.480,,,#DIV/0!,
2022-10-19,61.160,62.460,61.020,62.210,63092,,,1.530,1.801,0.029,#DIV/0!,
2022-10-20,62.760,63.540,62.640,62.810,38719,,,1.330,1.767,0.028,#DIV/0!,
2022-10-21,62.760,63.590,62.590,63.450,39103,,,1.000,1.731,0.027,#DIV/0!,
2022-10-24,63.420,64.060,63.420,63.690,29477,,,0.640,1.563,0.025,#DIV/0!,
2022-10-25,63.660,63.860,63.320,63.650,10443,,,0.540,1.468,0.023,#DIV/0!,
2022-10-26,63.860,65.090,63.860,64.720,30625,,,1.440,1.416,0.022,#DIV/0!,
2022-10-27,65.460,65.710,64.730,64.910,51101,61.881,,0.990,1.428,0.022,#DIV/0!,
2022-10-28,65.590,66.000,64.430,65.090,121945,62.234,,1.570,1.459,0.022,#DIV/0!,
2022-10-31,64.960,66.480,64.940,65.970,88024,62.650,,1.540,1.408,0.021,#DIV/0!,
2022-11-01,67.270,67.270,66.440,66.450,15635,62.958,,1.300,1.400,0.021,#DIV/0!,
2022-11-02,66.430,67.330,65.720,66.340,144192,63.170,,1.610,1.309,0.020,#DIV/0!,
2022-11-03,65.930,68.020,65.840,67.700,82685,63.427,,2.180,1.329,0.020,#DIV/0!,
2022-11-04,68.870,69.520,67.070,67.730,95960,63.680,,2.450,1.400,0.021,0.000,2.251
2022-11-07,67.920,68.480,67.350,67.820,26701,63.938,,1.130,1.375,0.020,0.021,2.293
2022-11-08,67.840,67.840,67.170,67.400,38563,64.279,,0.670,1.314,0.019,-0.017,2.247
2022-11-09,66.930,66.930,65.210,65.210,45600,64.514,,2.190,1.375,0.021,-0.060,2.184
2022-11-10,66.040,66.920,65.940,66.840,55129,64.729,,1.710,1.426,0.021,0.019,2.268
2022-11-11,67.670,68.460,67.660,68.020,37751,65.093,,1.620,1.496,0.022,0.070,2.333
2022-11-14,67.860,68.620,67.300,67.300,26792,65.412,,1.320,1.551,0.023,0.078,2.354
2022-11-15,67.510,68.180,67.120,68.110,37228,65.771,,1.060,1.524,0.022,0.105,2.396
2022-11-16,67.840,67.840,67.240,67.430,19779,66.032,,0.870,1.516,0.022,-0.033,2.254
2022-11-17,66.790,66.990,66.170,66.970,27027,66.240,,1.260,1.494,0.022,-0.215,2.049
2022-11-18,66.010,67.530,66.010,67.360,24299,66.436,,1.520,1.492,0.022,-0.277,1.948
2022-11-21,66.330,66.750,64.810,66.650,76958,66.584,,2.550,1.581,0.024,-0.524,1.634
2022-11-22,67.420,68.270,67.280,68.210,95847,66.812,,1.620,1.582,0.023,-0.677,1.393
2022-11-23,67.630,68.080,67.630,67.820,25541,66.967,,0.580,1.468,0.022,-0.815,1.128
2022-11-24,67.820,68.080,67.820,67.950,6054,67.119,,0.260,1.311,0.019,-0.837,0.953
2022-11-25,68.080,68.320,67.930,68.020,17266,67.265,,0.390,1.259,0.019,-0.651,0.987
2022-11-28,66.940,67.610,66.370,67.300,38352,67.332,,1.650,1.329,0.020,-0.592,0.877
2022-11-29,68.050,68.410,67.610,68.040,56421,67.411,,1.110,1.251,0.018,-0.586,0.712
2022-11-30,68.530,68.810,67.590,67.850,56453,67.487,,1.220,1.216,0.018,-0.541,0.596
2022-12-01,68.180,68.380,67.190,67.250,30280,67.464,,1.190,1.186,0.018,-0.540,0.427
2022-12-02,66.930,67.810,66.930,67.110,47626,67.433,,0.880,1.154,0.017,-0.505,0.316
2022-12-05,67.590,67.670,65.560,65.680,45000,67.326,,2.110,1.229,0.019,-0.501,0.186
2022-12-06,65.300,66.240,63.990,63.990,115263,67.156,,2.250,1.328,0.021,-0.579,-0.019
2022-12-07,64.000,64.470,63.360,63.790,69514,67.085,,1.110,1.317,0.021,-0.591,-0.155
2022-12-08,64.680,64.950,63.240,63.280,81296,66.907,64.846,1.710,1.331,0.021,-0.725,-0.448
2022-12-09,63.330,63.700,62.710,62.710,81266,66.641,64.939,0.990,1.219,0.019,-0.786,-0.682
2022-12-12,62.310,63.480,62.310,62.880,56916,66.420,65.044,1.170,1.187,0.019,-0.841,-0.918
2022-12-13,64.190,64.410,63.520,63.790,69874,66.204,65.114,1.530,1.255,0.020,-0.848,-1.116
2022-12-14,63.840,63.920,62.820,63.470,79944,66.006,65.142,1.100,1.315,0.021,-0.826,-1.284
2022-12-15,62.970,62.970,61.780,62.540,44004,65.785,65.141,1.690,1.408,0.023,-0.964,-1.639
2022-12-16,61.630,61.770,60.680,61.340,113014,65.484,65.115,1.860,1.423,0.023,-1.056,-1.970
2022-12-19,61.650,61.780,60.560,61.000,23495,65.201,65.081,1.220,1.431,0.023,-1.062,-2.221
2022-12-20,61.020,61.740,60.910,61.600,37271,64.871,65.102,0.830,1.403,0.023,-1.046,-2.461
2022-12-21,62.440,62.910,62.170,62.910,31285,64.625,65.150,1.310,1.411,0.022,-0.849,-2.492
2022-12-22,62.960,63.080,61.210,61.670,19517,64.311,65.132,1.870,1.482,0.024,-0.623,-2.464
2022-12-23,62.360,63.410,62.200,63.410,48734,64.081,65.186,1.740,1.456,0.023,-0.358,-2.358
2022-12-28,62.280,62.300,60.810,61.020,44206,63.767,65.188,2.600,1.481,0.024,-0.170,-2.303
2022-12-29,60.780,61.810,60.770,61.700,18540,63.450,65.203,1.040,1.476,0.024,0.037,-2.197
2022-12-30,61.430,61.990,61.370,61.810,24245,63.148,65.195,0.620,1.398,0.023,0.239,-2.040
2023-01-03,61.860,61.860,58.940,59.230,49675,62.747,65.124,2.920,1.536,0.026,0.202,-2.089
2023-01-04,58.560,59.150,58.200,58.610,75781,62.322,65.027,1.030,1.526,0.026,0.147,-2.135
2023-01-05,58.550,59.270,58.310,58.810,39604,61.978,64.929,0.960,1.485,0.025,0.149,-2.092
2023-01-06,59.490,60.580,59.490,60.230,40266,61.790,64.861,1.770,1.533,0.025,0.264,-1.912
2023-01-09,61.000,61.280,60.390,60.530,22704,61.627,64.777,1.050,1.487,0.025,0.425,-1.663
2023-01-10,60.520,60.530,59.690,60.220,17610,61.474,64.683,0.840,1.414,0.023,0.506,-1.484
2023-01-11,60.610,60.930,60.100,60.530,193985,61.365,64.592,0.830,1.386,0.023,0.469,-1.424
2023-01-12,61.000,62.140,60.880,62.030,21143,61.323,64.513,1.610,1.442,0.023,0.583,-1.199
2023-01-13,62.050,62.430,61.710,62.430,11012,61.255,64.433,0.720,1.400,0.022,0.528,-1.155
2023-01-16,62.090,62.640,62.090,62.510,5065,61.207,64.356,0.550,1.306,0.021,0.586,-0.974
2023-01-17,62.760,63.260,62.680,63.260,20053,61.243,64.267,0.750,1.235,0.020,0.590,-0.824
2023-01-18,63.830,64.290,62.650,62.650,13171,61.308,64.166,1.640,1.166,0.019,0.533,-0.730
2023-01-19,62.310,63.320,62.180,63.260,28065,61.421,64.075,1.140,1.174,0.019,0.681,-0.415
2023-01-20,63.390,63.540,62.840,63.460,34793,61.514,63.996,0.700,1.179,0.019,0.882,-0.033
2023-01-23,63.880,63.880,63.480,63.580,13529,61.548,63.963,0.420,1.001,0.016,1.082,0.372
2023-01-24,63.520,63.520,63.040,63.170,17322,61.623,63.890,0.540,0.966,0.015,1.110,0.629
2023-01-25,62.930,62.930,61.970,62.470,49642,61.576,63.779,1.200,0.983,0.016,1.053,0.793
2023-01-26,63.000,63.520,62.200,63.500,25325,61.700,63.703,1.320,0.951,0.015,1.006,0.984
2023-01-27,63.700,64.450,63.420,63.870,19287,61.808,63.618,1.030,0.949,0.015,0.937,1.152
2023-01-30,63.240,63.600,62.610,62.670,31941,61.851,63.523,1.260,0.979,0.016,0.729,1.164
2023-01-31,62.680,63.050,62.210,63.000,26645,62.040,63.443,0.840,0.980,0.016,0.557,1.208
2023-02-01,62.810,62.900,60.960,61.550,62338,62.187,63.327,2.040,1.011,0.016,0.310,1.132
2023-02-02,61.550,61.550,60.160,60.470,61224,62.270,63.204,1.390,1.059,0.018,0.074,1.013
2023-02-03,60.800,61.750,60.720,60.870,35234,62.302,63.057,1.280,1.111,0.018,-0.123,0.870
2023-02-06,61.040,61.070,60.200,60.790,26629,62.315,62.916,0.870,1.119,0.018,-0.302,0.700
2023-02-07,60.840,61.870,60.730,61.870,52858,62.397,62.795,1.140,1.084,0.018,-0.412,0.565
2023-02-08,61.770,62.060,61.340,61.720,23413,62.457,62.669,0.720,1.054,0.017,-0.588,0.314
2023-02-09,61.720,62.250,61.350,61.430,40352,62.427,62.551,0.900,1.068,0.017,-0.720,0.061
2023-02-10,62.070,62.950,61.920,62.750,23027,62.443,62.445,1.520,1.146,0.018,-0.712,-0.068
2023-02-13,62.490,63.110,62.460,62.950,22517,62.465,62.347,0.650,1.154,0.018,-0.704,-0.218
2023-02-14,62.640,63.200,62.190,63.130,22445,62.458,62.265,1.010,1.141,0.018,-0.697,-0.380
2023-02-15,62.630,62.870,61.960,62.500,25544,62.451,62.173,1.170,1.130,0.018,-0.633,-0.482
2023-02-16,62.030,62.830,61.680,61.930,104369,62.384,62.098,1.150,1.139,0.018,-0.610,-0.625
2023-02-17,61.410,61.410,60.470,60.470,28696,62.235,62.027,1.460,1.153,0.019,-0.489,-0.655
2023-02-21,60.470,60.720,59.850,59.850,28378,62.048,61.949,0.870,1.155,0.019,-0.312,-0.607
2023-02-22,59.540,60.030,59.060,59.360,30212,61.858,61.870,0.970,1.079,0.018,-0.213,-0.612
2023-02-23,59.990,60.400,59.620,60.170,27777,61.743,61.819,1.040,1.054,0.018,-0.079,-0.545
2023-02-24,59.990,60.910,59.680,60.910,36126,61.613,61.780,1.230,1.050,0.017,-0.038,-0.558
2023-02-27,61.010,61.410,60.800,61.200,21795,61.480,61.728,0.610,1.031,0.017,0.032,-0.522
