Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,13.930,14.010,13.710,13.740,130654,,,,,,,
2022-09-30,13.770,13.780,13.720,13.730,15439,,,0.060,,,,
2022-10-03,13.810,13.880,13.650,13.690,131786,,,0.230,,,,
2022-10-04,13.760,13.790,13.680,13.710,53166,,,0.110,,,,
2022-10-05,13.600,13.600,13.440,13.470,80154,,,0.270,,,,
2022-10-06,13.460,13.460,13.330,13.440,41709,,,0.140,,,,
2022-10-07,13.350,13.380,13.290,13.350,26963,,,0.150,,,,
2022-10-11,13.210,13.300,13.120,13.120,31485,,,0.230,,,,
2022-10-12,13.050,13.220,13.020,13.110,42721,,,0.200,,,#DIV/0!,
2022-10-13,13.010,13.310,13.010,13.180,21431,,,0.300,,,#DIV/0!,
2022-10-14,13.200,13.200,12.970,13.020,71716,,,0.230,,,#DIV/0!,
2022-10-17,13.160,13.180,13.030,13.030,26193,,,0.160,,,#DIV/0!,
2022-10-18,13.060,13.190,13.050,13.160,29114,,,0.160,,,#DIV/0!,
2022-10-19,12.970,13.020,12.780,12.780,77482,,,0.380,0.202,0.016,#DIV/0!,
2022-10-20,12.750,12.780,12.510,12.550,84607,,,0.270,0.206,0.016,#DIV/0!,
2022-10-21,12.340,12.490,12.300,12.490,46178,,,0.250,0.220,0.018,#DIV/0!,
2022-10-24,12.490,12.610,12.490,12.570,29724,,,0.120,0.212,0.017,#DIV/0!,
2022-10-25,12.720,12.740,12.660,12.730,38705,,,0.170,0.216,0.017,#DIV/0!,
2022-10-26,12.850,13.110,12.850,13.090,82457,,,0.380,0.224,0.017,#DIV/0!,
2022-10-27,13.150,13.280,13.090,13.270,46000,13.162,,0.190,0.228,0.017,#DIV/0!,
2022-10-28,13.240,13.300,13.220,13.270,29494,13.138,,0.080,0.223,0.017,#DIV/0!,
2022-10-31,13.350,13.380,13.210,13.250,29662,13.114,,0.170,0.219,0.016,#DIV/0!,
2022-11-01,13.450,13.450,13.310,13.370,38273,13.098,,0.200,0.219,0.016,#DIV/0!,
2022-11-02,13.330,13.360,13.130,13.210,44142,13.073,,0.240,0.214,0.016,#DIV/0!,
2022-11-03,13.140,13.150,13.030,13.060,56481,13.053,,0.180,0.211,0.016,#DIV/0!,
2022-11-04,12.920,12.970,12.820,12.820,49116,13.022,,0.240,0.216,0.017,0.000,-0.189
