Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,81.030,81.250,79.000,79.950,80781,,,,,,,
2022-09-30,79.800,80.890,78.400,78.440,36977,,,2.490,,,,
2022-10-03,78.960,80.750,78.560,80.280,61776,,,2.310,,,,
2022-10-04,81.920,83.000,81.920,82.790,103367,,,2.720,,,,
2022-10-05,81.680,83.200,80.910,82.700,53467,,,2.290,,,,
2022-10-06,82.480,83.310,82.100,82.140,70024,,,1.210,,,,
2022-10-07,80.760,80.760,78.620,78.990,76763,,,3.520,,,,
2022-10-11,77.790,78.540,76.660,77.160,75842,,,2.330,,,,
2022-10-12,77.330,77.890,77.000,77.150,32817,,,0.890,,,#DIV/0!,
2022-10-13,74.870,79.290,74.640,78.990,90655,,,4.650,,,#DIV/0!,
2022-10-14,79.610,79.740,76.350,76.350,80315,,,3.390,,,#DIV/0!,
2022-10-17,78.330,79.330,78.320,79.010,61915,,,2.980,,,#DIV/0!,
2022-10-18,81.210,81.340,78.950,79.590,96508,,,2.390,,,#DIV/0!,
2022-10-19,79.200,80.270,78.890,79.450,41985,,,1.380,2.504,0.032,#DIV/0!,
2022-10-20,79.150,80.600,78.700,79.040,67630,,,1.900,2.461,0.031,#DIV/0!,
2022-10-21,78.690,81.000,78.550,80.920,128215,,,2.450,2.458,0.030,#DIV/0!,
2022-10-24,81.000,82.000,79.840,81.720,74612,,,2.160,2.447,0.030,#DIV/0!,
2022-10-25,82.020,83.500,82.020,83.400,44827,,,1.780,2.380,0.029,#DIV/0!,
2022-10-26,81.770,83.270,81.460,81.460,71712,,,1.940,2.355,0.029,#DIV/0!,
2022-10-27,81.240,81.640,79.970,79.980,62973,79.976,,1.670,2.388,0.030,#DIV/0!,
2022-10-28,79.870,82.650,79.870,82.500,42455,80.103,,2.780,2.335,0.028,#DIV/0!,
2022-10-31,81.770,82.050,81.050,81.500,23189,80.256,,1.450,2.272,0.028,#DIV/0!,
2022-11-01,82.630,82.750,80.720,80.750,41970,80.280,,2.030,2.354,0.029,#DIV/0!,
2022-11-02,80.720,81.590,77.990,77.990,103767,80.040,,3.600,2.279,0.029,#DIV/0!,
2022-11-03,77.070,77.520,76.400,76.490,81756,79.729,,1.590,2.150,0.028,#DIV/0!,
2022-11-04,78.000,78.250,76.130,77.680,76127,79.506,,2.120,2.089,0.027,0.000,0.424
2022-11-07,78.080,78.730,77.510,78.490,57182,79.481,,1.220,2.005,0.026,0.005,0.434
2022-11-08,79.050,80.110,78.000,79.180,90430,79.582,,2.110,2.057,0.026,-0.112,0.260
2022-11-09,78.610,78.830,77.260,77.320,92755,79.591,,1.920,2.059,0.027,-0.274,0.008
2022-11-10,81.060,83.020,80.410,83.000,174822,79.791,,5.700,2.291,0.028,-0.252,-0.034
2022-11-11,82.940,84.650,82.680,84.450,101711,80.196,,1.970,2.277,0.027,-0.059,0.148
2022-11-14,83.880,84.800,83.460,83.650,46438,80.428,,1.340,2.246,0.027,0.162,0.396
