Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,16.900,16.900,16.700,16.830,117008,,,,,,,
2022-09-30,16.850,16.980,16.780,16.780,60739,,,0.200,,,,
2022-10-03,16.860,17.200,16.860,17.140,207029,,,0.420,,,,
2022-10-04,17.330,17.530,17.330,17.510,98395,,,0.390,,,,
2022-10-05,17.400,17.400,17.260,17.340,62312,,,0.250,,,,
2022-10-06,17.260,17.280,17.030,17.030,112265,,,0.310,,,,
2022-10-07,16.980,16.980,16.740,16.770,115778,,,0.290,,,,
2022-10-11,16.600,16.630,16.440,16.470,120276,,,0.330,,,,
2022-10-12,16.410,16.500,16.390,16.420,76724,,,0.110,,,#DIV/0!,
2022-10-13,16.250,16.870,16.150,16.870,121667,,,0.720,,,#DIV/0!,
2022-10-14,16.830,16.930,16.620,16.620,110744,,,0.310,,,#DIV/0!,
2022-10-17,16.760,16.980,16.750,16.890,78663,,,0.360,,,#DIV/0!,
2022-10-18,17.080,17.150,16.990,17.040,126825,,,0.260,,,#DIV/0!,
2022-10-19,17.000,17.040,16.880,16.980,64304,,,0.160,0.316,0.019,#DIV/0!,
2022-10-20,16.980,17.050,16.790,16.840,64095,,,0.260,0.312,0.019,#DIV/0!,
2022-10-21,16.800,17.070,16.770,17.030,98004,,,0.300,0.319,0.019,#DIV/0!,
2022-10-24,17.070,17.150,17.020,17.110,76514,,,0.130,0.299,0.017,#DIV/0!,
2022-10-25,17.080,17.260,17.050,17.240,62590,,,0.210,0.286,0.017,#DIV/0!,
2022-10-26,17.250,17.510,17.250,17.400,127881,,,0.270,0.287,0.017,#DIV/0!,
2022-10-27,17.330,17.450,17.330,17.370,147743,16.984,,0.120,0.274,0.016,#DIV/0!,
2022-10-28,17.410,17.520,17.370,17.520,82347,17.019,,0.150,0.264,0.015,#DIV/0!,
2022-10-31,17.460,17.540,17.450,17.490,94487,17.054,,0.090,0.246,0.014,#DIV/0!,
2022-11-01,17.600,17.650,17.450,17.510,56644,17.073,,0.200,0.253,0.014,#DIV/0!,
2022-11-02,17.490,17.630,17.390,17.410,95007,17.068,,0.240,0.219,0.013,#DIV/0!,
2022-11-03,17.270,17.310,17.160,17.250,71693,17.063,,0.250,0.214,0.012,#DIV/0!,
2022-11-04,17.380,17.530,17.350,17.480,167543,17.086,,0.280,0.209,0.012,0.000,0.214
2022-11-07,17.500,17.530,17.410,17.490,79361,17.122,,0.120,0.199,0.011,0.014,0.243
2022-11-08,17.460,17.630,17.460,17.600,92196,17.178,,0.170,0.199,0.011,0.020,0.259
2022-11-09,17.520,17.560,17.430,17.430,80087,17.229,,0.170,0.193,0.011,0.027,0.274
2022-11-10,17.670,17.880,17.670,17.860,216989,17.278,,0.450,0.204,0.011,0.052,0.313
2022-11-11,17.860,17.920,17.800,17.880,122702,17.341,,0.120,0.203,0.011,0.059,0.332
2022-11-14,17.810,17.900,17.770,17.770,75819,17.385,,0.130,0.197,0.011,0.055,0.337
2022-11-15,17.870,17.890,17.750,17.820,58423,17.424,,0.140,0.188,0.011,0.035,0.321
2022-11-16,17.780,17.870,17.780,17.830,82825,17.467,,0.090,0.186,0.010,0.010,0.297
2022-11-17,17.710,17.800,17.700,17.800,92680,17.515,,0.130,0.184,0.010,-0.025,0.268
2022-11-18,17.880,17.910,17.850,17.900,101479,17.558,,0.110,0.186,0.010,-0.027,0.270
2022-11-21,17.830,17.930,17.790,17.930,139294,17.599,,0.140,0.181,0.010,-0.023,0.276
2022-11-22,17.960,18.110,17.960,18.090,139931,17.642,,0.180,0.177,0.010,-0.019,0.281
2022-11-23,18.030,18.160,18.030,18.160,137470,17.680,,0.130,0.169,0.009,-0.004,0.293
